Week,Influenza_A_virus_subtype_H9N2,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2011-14,81,9260,3275,5783,19019,7404,290,27830,1263,129,29788,1030,3152,7624,468,125,677,1935,53,1885,205,1000,4792,496,1791,359,36014883,3116,11952,8374,565,12710
2011-15,60,10195,3221,6166,18505,7539,244,27781,1049,95,27218,922,2704,5908,458,65,624,1842,135,1930,159,936,4690,441,1532,334,34894635,2758,11508,7421,487,11911
2011-16,53,8043,2955,5601,16478,6625,231,25392,1028,93,21884,770,1991,4699,445,74,440,1786,80,1555,183,781,3966,420,1106,271,33533339,2464,10730,6301,514,10805
2011-17,73,17262,3049,6352,16458,7661,246,25659,949,95,23684,738,2020,4738,446,74,457,1617,69,1826,211,1045,3816,509,969,337,35436212,2440,11236,6398,554,12294
2011-18,57,13314,3022,5492,16682,7531,218,24646,889,109,25264,768,1892,4749,456,64,507,1392,73,1666,213,1208,4172,449,861,357,35391196,2483,11509,7504,470,12292
2011-19,78,21237,3196,6687,17194,7696,262,25050,874,106,24821,746,1918,4633,474,81,381,1434,70,1842,259,1200,4283,483,817,310,35483307,2310,12528,8484,475,13224
2011-20,65,19450,3181,12550,16906,6782,337,23906,854,110,24523,731,1754,5644,456,60,418,1590,67,1748,200,1144,3920,418,718,315,33308759,2402,11748,8329,611,12692
2011-21,48,11980,3107,7923,17154,6796,294,23896,819,85,23049,669,1672,5044,475,48,411,1982,53,1639,169,1022,3876,357,636,275,39554595,2402,11725,8153,720,14064
2011-22,56,9335,2983,10800,15872,7027,407,26615,771,94,22032,653,1593,4987,426,61,387,1436,62,1454,152,974,3747,379,696,249,59853724,2113,12941,8344,339,11871
2011-23,75,9361,2878,5869,14722,6963,321,23841,716,69,19831,725,1627,5061,426,74,482,2513,83,1543,158,713,3304,344,626,258,32627554,2152,10794,8223,393,10734
2011-24,65,6986,2330,5317,13752,6320,259,23886,672,67,18408,680,1480,4605,370,56,366,1216,33,1345,148,717,2800,321,498,224,31242830,1873,10213,8789,311,10560
2011-25,61,6319,2544,5415,14202,6013,278,25400,719,55,18566,692,1559,4308,312,87,467,1202,55,1411,151,796,3339,333,555,215,31615598,2041,9607,8638,317,10999
2011-26,50,5613,2278,5167,13526,5508,434,24099,632,58,15990,627,1413,3913,275,67,416,1113,79,1174,122,646,2701,308,558,174,30887090,1676,9199,8256,329,9036
2011-27,51,5622,2216,5116,14002,4869,320,24130,600,51,16211,617,1373,3985,278,79,389,1124,72,1182,118,744,2589,260,634,199,30495837,1724,8451,7507,285,8396
2011-28,63,5827,2550,5583,13952,4852,257,23989,646,76,16305,626,1341,4436,310,71,360,1261,49,1191,135,706,2676,260,561,215,30625638,1838,8592,7255,301,44865
2011-29,56,5902,5042,5508,13679,5120,287,24088,743,64,17328,700,1494,4075,256,81,358,1138,66,1210,142,759,2848,242,707,196,31790493,1938,8885,7417,321,8497
2011-30,67,5710,2539,5524,14329,5060,292,24822,775,77,17013,675,1767,4068,303,96,403,1152,94,1159,155,828,3291,320,709,280,30426846,1808,8563,6991,317,8643
2011-31,55,5222,2516,5456,13586,5193,263,24836,818,83,16586,721,1783,3911,266,65,373,1062,64,1197,130,738,3003,238,789,248,29896208,1872,11515,6885,309,8687
2011-32,66,5412,2376,5138,13164,5489,276,23281,858,81,16206,636,1886,3623,252,86,373,1168,55,1204,152,762,2810,281,821,237,29678202,2008,9572,6519,329,8019
2011-33,61,6087,2698,5640,13135,5540,249,22398,902,64,16534,651,1586,3711,280,95,376,1142,63,1182,141,609,2854,279,729,192,28662547,1801,12555,6308,399,7430
2011-34,75,5752,2602,5681,14285,5647,259,22910,1105,55,16690,691,1588,3712,297,62,457,1176,75,1175,140,683,3375,273,1763,207,27587528,1838,9207,6569,309,8142
2011-35,76,7010,4413,6042,14793,5988,287,21142,1439,77,16750,658,1744,4247,336,101,1136,5262,104,1408,136,684,4532,295,810,250,26309508,1901,10945,6745,283,7625
2011-36,66,9907,3569,7654,16588,6823,321,22877,1573,70,19279,672,1683,4694,390,80,745,2474,70,1684,122,713,4475,341,770,238,25676642,1920,11748,7344,292,8218
2011-37,56,11579,3496,8444,19823,8219,434,23801,1812,77,22848,785,1868,5473,501,69,700,1986,52,1953,147,806,6453,351,828,267,25402485,2015,13342,8234,312,9914
2011-38,69,10632,3782,7622,22611,7638,322,26210,1989,105,26185,869,1983,5473,438,89,746,2165,61,1830,121,888,8072,391,804,269,25641524,2140,12136,8069,325,9703
2011-39,70,9952,3107,7846,22554,7993,291,27672,2262,100,26444,1072,2269,5392,392,73,810,1725,77,1756,142,961,11295,467,855,294,26741601,2355,11561,8247,430,10586
2011-40,79,10078,3326,7850,24855,8492,296,28653,2449,92,30563,1167,2400,5836,441,87,928,1845,79,1995,199,1524,15124,515,1030,321,30484516,2578,11748,9091,421,12282
2011-41,70,11446,3673,9885,22700,9340,340,28421,2158,91,29658,1107,2399,5376,548,71,849,1726,64,2187,182,1115,14974,478,830,357,28919239,2531,15387,8692,430,11460
2011-42,83,12035,3569,15082,23306,8660,329,27985,2116,95,33310,1116,2389,5928,490,73,877,1902,68,2018,172,1177,15208,599,934,353,24350749,2582,12863,8365,446,11563
2011-43,97,16577,3992,11567,24284,9071,356,28690,2144,101,38250,1191,2535,6212,477,68,839,1863,60,2247,187,1285,16689,603,903,357,25226131,2822,13496,8680,443,16480
2011-44,81,53374,3800,10422,26309,9285,360,31331,2209,85,39844,1177,2767,6047,614,92,831,1996,71,3024,190,1194,13684,599,937,390,26484283,2920,15134,9272,476,14421
2011-45,84,37138,3572,9278,26670,10179,315,31147,2008,104,41516,1105,2925,6090,646,89,874,1929,70,2941,205,1201,12839,538,987,400,26649074,2903,14422,9472,507,14026
2011-46,87,16528,3893,8971,29716,9914,411,32413,1900,105,38567,1158,3270,5635,547,104,799,2180,124,2646,215,1221,11272,588,961,445,26533795,3109,13961,8653,480,14510
2011-47,112,12921,3947,8003,25435,7880,421,28231,1437,130,30330,1028,3349,5378,462,115,1828,2736,100,2182,207,1123,8420,513,884,441,24983337,2989,11726,8016,468,12256
2011-48,90,14761,4937,9425,30096,10170,343,30440,1912,89,35506,1194,3317,6452,576,124,1636,5272,87,2520,218,1237,8365,548,1090,438,26414156,3404,14892,8611,560,13887
2011-49,67,15471,3659,8587,27922,9657,320,31397,1617,92,33284,972,2840,5344,516,125,1289,3183,108,2180,202,1114,7415,531,1001,403,25855433,2970,14898,8060,486,13894
2011-50,97,14328,3659,7958,27634,8894,303,29066,1464,109,30812,1029,2560,5681,474,121,1582,2320,104,2040,188,1162,6444,470,917,376,25254300,2944,13186,7629,498,12592
2011-51,44,9935,3655,3956,17158,3718,154,16392,828,78,16448,643,1626,4046,317,137,1112,6876,65,1286,141,599,3405,232,583,205,14538543,1723,6528,4300,362,6038
2011-52,107,13351,3715,5367,30231,5291,272,30610,2159,130,29924,963,2822,6808,538,211,2017,10539,117,1633,193,1366,4970,367,1529,329,26203785,3265,9277,12172,484,7696
