month,total.desktop,total.mobile-app,total.mobile-web,timeRange.start,timeRange.end
2018-11-01T00:00:00.000Z,241304759,11040307,369950893,2018-11-01T00:00:00.000Z,2018-12-01T00:00:00.000Z
2018-12-01T00:00:00.000Z,245945456,11291348,362633737,2018-12-01T00:00:00.000Z,2019-01-01T00:00:00.000Z
2019-01-01T00:00:00.000Z,291343241,13076978,424120921,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
2019-02-01T00:00:00.000Z,252563982,10785386,366964148,2019-02-01T00:00:00.000Z,2019-03-01T00:00:00.000Z
2019-03-01T00:00:00.000Z,251825418,11294905,377823586,2019-03-01T00:00:00.000Z,2019-04-01T00:00:00.000Z
2019-04-01T00:00:00.000Z,239896748,11319528,371469453,2019-04-01T00:00:00.000Z,2019-05-01T00:00:00.000Z
2019-05-01T00:00:00.000Z,246952015,12071924,395109605,2019-05-01T00:00:00.000Z,2019-06-01T00:00:00.000Z
2019-06-01T00:00:00.000Z,231192899,11052559,341554891,2019-06-01T00:00:00.000Z,2019-07-01T00:00:00.000Z
2019-07-01T00:00:00.000Z,229859255,11422179,361559560,2019-07-01T00:00:00.000Z,2019-08-01T00:00:00.000Z
2019-08-01T00:00:00.000Z,213267458,12610446,394290805,2019-08-01T00:00:00.000Z,2019-09-01T00:00:00.000Z
2019-09-01T00:00:00.000Z,236273417,11535725,373091712,2019-09-01T00:00:00.000Z,2019-10-01T00:00:00.000Z
2019-10-01T00:00:00.000Z,244801500,11237614,366367137,2019-10-01T00:00:00.000Z,2019-11-01T00:00:00.000Z
2019-11-01T00:00:00.000Z,236748783,11235046,373660191,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
2019-12-01T00:00:00.000Z,233156101,11613104,364050737,2019-12-01T00:00:00.000Z,2020-01-01T00:00:00.000Z
2020-01-01T00:00:00.000Z,242300021,13069193,427250097,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
